datetime,open,high,low,close
2022-02-07,4505.75,4521.86,4471.47,4483.87
2022-02-04,4482.79,4539.66,4451.5,4500.53
2022-02-03,4535.41,4542.88,4470.39,4477.44
2022-02-02,4566.39,4595.31,4544.32,4589.38
2022-02-01,4519.57,4550.49,4483.53,4546.54
2022-01-31,4431.79,4516.89,4414.02,4515.55
2022-01-28,4336.19,4432.72,4292.46,4431.85
2022-01-27,4380.58,4428.74,4309.5,4326.51
2022-01-26,4408.43,4453.23,4304.8,4349.93
2022-01-25,4366.64,4411.01,4287.11,4356.45
2022-01-24,4356.32,4417.35,4222.62,4410.13
2022-01-21,4471.38,4494.52,4395.34,4397.94
2022-01-20,4547.35,4602.11,4477.95,4482.73
2022-01-19,4588.03,4611.55,4530.2,4532.76
2022-01-18,4632.24,4632.24,4568.7,4577.11
2022-01-14,4637.99,4665.13,4614.75,4662.85
2022-01-13,4733.56,4744.13,4650.29,4659.03
2022-01-12,4728.59,4748.83,4706.71,4726.35
2022-01-11,4669.14,4714.13,4638.27,4713.07
2022-01-10,4655.34,4673.02,4582.24,4670.29
2022-01-07,4697.66,4707.95,4662.74,4677.03
2022-01-06,4693.39,4725.01,4671.26,4696.05
2022-01-05,4787.99,4797.7,4699.44,4700.58
2022-01-04,4804.51,4818.62,4774.27,4793.54
2022-01-03,4778.14,4796.64,4758.17,4796.56
2021-12-31,4775.21,4786.83,4765.75,4766.18
2021-12-30,4794.23,4808.93,4775.33,4778.73
2021-12-29,4788.64,4804.06,4778.08,4793.06
2021-12-28,4795.49,4807.02,4780.04,4786.35
2021-12-27,4733.99,4791.49,4733.99,4791.19
2021-12-23,4703.96,4740.74,4703.96,4725.79
2021-12-22,4650.36,4697.67,4645.53,4696.56
2021-12-21,4594.96,4651.14,4583.16,4649.23
2021-12-20,4587.9,4587.9,4531.1,4568.02
2021-12-17,4652.5,4666.7,4600.22,4620.64
2021-12-16,4719.13,4731.99,4651.89,4668.67
2021-12-15,4636.46,4712.6,4611.22,4709.85
2021-12-14,4642.99,4660.47,4606.52,4634.09
2021-12-13,4710.3,4710.3,4667.6,4668.97
2021-12-10,4687.64,4713.57,4670.24,4712.02
2021-12-09,4691,4695.26,4665.98,4667.45
2021-12-08,4690.86,4705.06,4674.52,4701.21
2021-12-07,4631.97,4694.04,4631.97,4686.75
2021-12-06,4548.37,4612.6,4540.51,4591.67
2021-12-03,4589.49,4608.03,4495.12,4538.43
2021-12-02,4504.73,4595.46,4504.73,4577.1
2021-12-01,4602.82,4652.94,4510.27,4513.04
2021-11-30,4640.25,4646.02,4560,4567
2021-11-29,4628.75,4672.95,4625.26,4655.27
2021-11-26,4664.63,4664.63,4585.43,4594.62
2021-11-24,4675.78,4702.87,4659.89,4701.46
2021-11-23,4678.48,4699.39,4652.66,4690.7
2021-11-22,4712,4743.83,4682.17,4682.94
2021-11-19,4708.44,4717.75,4694.22,4697.96
2021-11-18,4700.72,4708.8,4672.78,4704.54
2021-11-17,4701.5,4701.5,4684.41,4688.67
2021-11-16,4679.42,4714.95,4679.42,4700.9
2021-11-15,4689.3,4697.42,4672.86,4682.8
2021-11-12,4655.24,4688.47,4650.77,4682.85
2021-11-11,4659.39,4664.55,4648.31,4649.27
2021-11-10,4670.26,4684.85,4630.86,4646.71
2021-11-09,4707.25,4708.53,4670.87,4685.25
2021-11-08,4701.48,4714.92,4694.39,4701.7
2021-11-05,4699.26,4718.5,4681.32,4697.53
2021-11-04,4662.93,4683,4662.59,4680.06
2021-11-03,4630.65,4663.46,4621.19,4660.57
2021-11-02,4613.34,4635.15,4613.34,4630.65
